id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
121,Fuels,Liquid fuels,Burning oil,Volume,litres,kg CO2e,2.53233,2017-01-01 00:00:00,2017-12-31 23:59:59
122,Fuels,Liquid fuels,Burning oil,Volume,litres,kg CH4,0.00632,2017-01-01 00:00:00,2017-12-31 23:59:59
123,Fuels,Liquid fuels,Burning oil,Volume,litres,kg CO2,2.51973,2017-01-01 00:00:00,2017-12-31 23:59:59
124,Fuels,Liquid fuels,Burning oil,Volume,litres,kg N2O,0.00628,2017-01-01 00:00:00,2017-12-31 23:59:59
125,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,kg CO2e,3165.4122,2017-01-01 00:00:00,2017-12-31 23:59:59
126,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,kg CH4,7.89977,2017-01-01 00:00:00,2017-12-31 23:59:59
127,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,kg CO2,3149.66667,2017-01-01 00:00:00,2017-12-31 23:59:59
128,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,kg N2O,7.84576,2017-01-01 00:00:00,2017-12-31 23:59:59
129,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24523,2017-01-01 00:00:00,2017-12-31 23:59:59
130,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh (Gross CV),kg CH4,0.00005,2017-01-01 00:00:00,2017-12-31 23:59:59
131,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh (Gross CV),kg CO2,0.24318,2017-01-01 00:00:00,2017-12-31 23:59:59
132,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh (Gross CV),kg N2O,0.002,2017-01-01 00:00:00,2017-12-31 23:59:59
133,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh (Net CV),kg CO2e,0.26088,2017-01-01 00:00:00,2017-12-31 23:59:59
134,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh (Net CV),kg CH4,0.00005,2017-01-01 00:00:00,2017-12-31 23:59:59
135,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh (Net CV),kg CO2,0.2587,2017-01-01 00:00:00,2017-12-31 23:59:59
