id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_71,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,mmbtu,Petroleum Coke (Solid),30,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_72,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,kg CO2,Petroleum Coke (Solid),102.41,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_73,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g CH4,Petroleum Coke (Solid),32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_74,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g N2O,Petroleum Coke (Solid),4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_75,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,kg CO2,Petroleum Coke (Solid),3072,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_76,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g CH4,Petroleum Coke (Solid),960,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_77,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g N2O,Petroleum Coke (Solid),126,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_78,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,mmbtu,Plastics,38,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_79,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,kg CO2,Plastics,75,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_80,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g CH4,Plastics,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_81,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g N2O,Plastics,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_82,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,kg CO2,Plastics,2850,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_83,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g CH4,Plastics,1216,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_84,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g N2O,Plastics,160,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_85,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,mmbtu,Tires,28,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_86,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,kg CO2,Tires,85.97,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_87,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g CH4,Tires,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_88,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g N2O,Tires,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_89,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,kg CO2,Tires,2407,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_90,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g CH4,Tires,896,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_91,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g N2O,Tires,118,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_92,Fuels,Solid,Biomass Fuels,short ton,short ton,mmbtu,Agricultural Byproducts,8.25,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_93,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,kg CO2,Agricultural Byproducts,118.17,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_94,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g CH4,Agricultural Byproducts,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_95,Fuels,Solid,Biomass Fuels,mmbtu,mmbtu,g N2O,Agricultural Byproducts,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
