id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
91,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg N2O,Other petroleum gas litres,0.00051,2021-01-01 00:00:00,2021-12-31 23:59:59
92,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CO2e,Other petroleum gas tonnes,2578.25,2021-01-01 00:00:00,2021-12-31 23:59:59
93,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CH4,Other petroleum gas tonnes,1.17,2021-01-01 00:00:00,2021-12-31 23:59:59
94,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CO2,Other petroleum gas tonnes,2575.7,2021-01-01 00:00:00,2021-12-31 23:59:59
95,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg N2O,Other petroleum gas tonnes,1.39,2021-01-01 00:00:00,2021-12-31 23:59:59
96,Scope1,Fuels,Gaseous fuels,Propane,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Propane kWh (Gross CV),0.21411,2021-01-01 00:00:00,2021-12-31 23:59:59
97,Scope1,Fuels,Gaseous fuels,Propane,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Propane kWh (Gross CV),0.00016,2021-01-01 00:00:00,2021-12-31 23:59:59
98,Scope1,Fuels,Gaseous fuels,Propane,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Propane kWh (Gross CV),0.21381,2021-01-01 00:00:00,2021-12-31 23:59:59
99,Scope1,Fuels,Gaseous fuels,Propane,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Propane kWh (Gross CV),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
100,Scope1,Fuels,Gaseous fuels,Propane,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Propane kWh (Net CV),0.23257,2021-01-01 00:00:00,2021-12-31 23:59:59
101,Scope1,Fuels,Gaseous fuels,Propane,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Propane kWh (Net CV),0.00018,2021-01-01 00:00:00,2021-12-31 23:59:59
102,Scope1,Fuels,Gaseous fuels,Propane,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Propane kWh (Net CV),0.23225,2021-01-01 00:00:00,2021-12-31 23:59:59
103,Scope1,Fuels,Gaseous fuels,Propane,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Propane kWh (Net CV),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
104,Scope1,Fuels,Gaseous fuels,Propane,Volume,litres,litres,kg CO2e,Propane litres,1.54354,2021-01-01 00:00:00,2021-12-31 23:59:59
105,Scope1,Fuels,Gaseous fuels,Propane,Volume,litres,litres,kg CH4,Propane litres,0.00119,2021-01-01 00:00:00,2021-12-31 23:59:59
106,Scope1,Fuels,Gaseous fuels,Propane,Volume,litres,litres,kg CO2,Propane litres,1.5414,2021-01-01 00:00:00,2021-12-31 23:59:59
107,Scope1,Fuels,Gaseous fuels,Propane,Volume,litres,litres,kg N2O,Propane litres,0.00095,2021-01-01 00:00:00,2021-12-31 23:59:59
108,Scope1,Fuels,Gaseous fuels,Propane,Tonnes,tonnes,tonnes,kg CO2e,Propane tonnes,2997.55,2021-01-01 00:00:00,2021-12-31 23:59:59
